,Unnamed: 0,text,type,negation,start,sentence,subtag,section,pmid
29695,29695,tracheostomy,Participant,0,8,"We explored the safe and effective management of tracheostomy in COVID-19 patients , to benefit patients and protect health care workers at the same time .",None,BACKGROUND,32427403
29698,29698,tracheostomy,Participant,0,8,We retrospectively analyzed 11 hospitalized COVID-19 patients undergoing tracheostomy .,None,OBJECTIVE,32427403
29700,29700,tracheostomy,Participant,0,8,"Clinical features of patients , ventilator withdrawal after tracheostomy , surgical complications , and nosocomial infection of the health care workers associated with the tracheostomy were analyzed .",None,METHODS,32427403
29703,29703,tracheostomy,Participant,0,24,"Clinical features of patients , ventilator withdrawal after tracheostomy , surgical complications , and nosocomial infection of the health care workers associated with the tracheostomy were analyzed .",None,METHODS,32427403
29715,29715,tracheostomy,Participant,0,18,"Comprehensive evaluation before tracheostomy , optimized procedures during tracheostomy , and special care after tracheostomy can make the tracheostomy safe and beneficial in COVID-19 patients .",None,RESULTS,32427403
34387,34387,tracheostomy,Participant,0,20,The Sequential Organ Failure Assessment score before surgery and the progression in ventilation support during the first 72 hours after tracheostomy are optimal prognostic markers for these patients .,None,RESULTS,32450761
35416,35416,tracheostomy,Intervention,0,4,"In our experience , tracheostomy does not seem to influence the clinical course and prognosis of the disease , in the face of possible risks of contagion for healthcare workers",None,BACKGROUND,32458121
35420,35420,tracheostomy,Intervention,0,16,"Although it is not possible to define an optimal timing , it is our opinion that tracheostomy in a stable or clinically improved COVID-19 patient should not be proposed before",None,BACKGROUND,32458121
35427,35427,tracheostomy,Intervention,0,21,published a short communication about tracheostomy timing in patients with COVID-19 ( Coronavirus Disease 2019 ) ; they reported that the tracheostomy could allow early Intensive Care Units discharge and,None,METHODS,32458121
35430,35430,tracheostomy,Outcome,0,14,In this Letter to the Editor we would like to present our experience with tracheostomy in a Hub Covid Hospital .,None,RESULTS,32458121
35437,35437,tracheostomy,Outcome,0,4,Two patients died after tracheostomy ; the median time between tracheostomy and death was 3 days .,None,RESULTS,32458121
35439,35439,tracheostomy,Outcome,0,10,Two patients died after tracheostomy ; the median time between tracheostomy and death was 3 days .,None,RESULTS,32458121
45839,45839,tracheostomy,Outcome,0,22,"to 12 % of all positive cases for massive interstitial pneumonia , with possible long-term endotracheal intubation for mechanical ventilation and subsequent tracheostomy .",None,BACKGROUND,32506145
67654,67654,tracheostomy,Outcome,0,1,Thirty-eight tracheostomies were performed on patients with respiratory failure secondary to SARS-CoV-2 infection over the month of April at North Shore University Hospital and Lenox Hill Hospital ( members of,None,TITLE,32600107
67662,67662,tracheostomy,Participant,0,11,Two patients ( 5.3 % ) expired in the weeks following tracheostomy .,None,RESULTS,32600107
67663,67663,tracheostomy,Participant,0,12,"Between the 2 institutions , 10 attending surgeons performed all of the tracheostomies using appropriate personal protective equipment , and none demonstrated seroconversion within 1 to 2 weeks of this",None,RESULTS,32600107
82974,82974,tracheostomy,Participant,0,10,Optimized procedures and enhanced personal protective equipment can make the tracheostomy safe and beneficial in COVID-19 patients .,None,METHODS,32656673
82991,82991,tracheostomy,Outcome,0,11,The mortality rate of COVID-19 patients admitted to ICU that underwent tracheostomy was 18 % .,None,RESULTS,32656673
101501,101501,tracheostomy,Outcome,0,10,We also did explore the current literature and recommendations for tracheostomy in patients with COVID-19 and studied the previous data from severe acute respiratory syndrome coronavirus 1 ( SARS-CoV-1 ),None,RESULTS,32719738
109570,109570,tracheostomy,Participant,0,26,METHODS : We conducted an observational cohort study of patients in a high-volume centre in the worst-affected region of the UK including all patients that underwent tracheostomy for COVID-19 pneumonitis,None,METHODS,32740720
109632,109632,tracheostomy,Participant,0,20,OBJECTIVES : To describe Otolaryngologists ' perspective in managing COVID-19 patients with acute respiratory distress syndrome ( ARDS ) requiring tracheostomy in the ICUs during the pandemic peak in a,None,TITLE,32741194
109645,109645,tracheostomy,Participant,0,9,Otolaryngologists ' experience derived from direct involvement in 24 tracheostomies is reported .,None,METHODS,32741194
114276,114276,tracheostomy,Participant,0,8,OBJECTIVE : Evaluation of a risk-reduced procedure for tracheostomy .,None,BACKGROUND,32757019
114695,114695,tracheostomy,Participant,0,8,METHODS : Twenty-eight coronavirus disease 2019 patients underwent tracheostomy .,None,METHODS,32758308
