,pmid,text,sentence,subtag
26,32232685,severe,"Among them , 27 ( 8.4 % ) patients experienced severe acute respiratory failure including 17 patients ( 63 % ) treated with HFNC as first-line therapy , 9 patients",
27,32233641,severe,Genes related to severe acute respiratory syndromes ( SARS ) and Middle East respiratory syndrome ( MERS ) were queried on the GeneCards database .,
28,32234468,severe,SARS-CoV-2 infection causes clusters of severe respiratory illness similar to severe acute respiratory syndrome coronavirus .,
29,32238232,severe,"Most patients had a self-limited course , and some became severe even death .",
30,32241072,severe,Acute respiratory distress syndrome ( ARDS ) was the most severe pulmonary complication that caused high mortality rate .,
31,32248966,severe,"COVID-19 results in mild symptoms in the majority of infected patients , but can cause severe lung injury , cardiac injury , and death .",
32,32253318,severe,No severe adverse effects were observed .,
33,32256705,severe,"Cancer and transplant patients with COVID-19 have a higher risk of developing severe and even fatal respiratory diseases , especially as they may be treated with immune-suppressive or immune-stimulating drugs",
34,32257537,severe,"Among them , two common and one severe patient were recovered and discharged in 10 days after treatment .",
35,32269087,severe,The symptoms in neonates were milder and outcomes were less severe compared to adults .,
36,32281330,severe,"The primary evaluation outcomes mainly included antipyretic time , clinical symptom relief , novel coronavirus nucleic acid turning to negative , conversion rate of severe cases and chest CT .",
37,32281331,severe,"The courses of COVID-19 can be divided into early stage , middle stage , severe stage and recovery stage .",
38,32283143,severe,None of the patients developed severe pneumonia or ARDS .,
39,32283324,severe,Children with COVID-19 rarely develop severe symptoms and mortality is relatively low .,
40,32286607,severe,"and severe complication , namely interstitial pneumonia .",
41,32290839,severe,"About 25 % of COVID-19 patients experienced severe complications including acute respiratory distress syndrome ( ARDS ) , and even progressed into an intensive care unit ( ICU ) admission",
42,32292626,severe,"length of hospital stay , composite events , score of clinical symptoms , and time to 2019-nCoV RT-PCR negativity ) , five outcomes for the severe type ( composite events",
43,32292626,severe,"RT-PCR negativity ) , one outcome for critical type ( all-cause mortality ) , and one outcome for rehabilitation period ( pulmonary function ) .",
44,32296135,severe,enhance risk for severe infection .,
45,32300516,severe,infection or more severe disease course .,
46,32301155,severe,"In conclusion , this frontline report suggests that SARS-CoV-2 infection has a severe course in SOT recipients .",
47,32303590,severe,"Although none of the older macaques showed the severe symptoms that humans do , the lung pathology observed was similar .",
48,32305587,severe,Disease development was successfully prevented without severe adverse events .,
49,32305831,severe,"Along the same line , anecdotal information from Wuhan , China , mentioned a severe course of COVID-19 in a child treated for leukaemia .",
50,32310621,severe,Preliminary evidence suggests children are just as likely as adults to become infected with SARS-CoV-2 but are less likely to be symptomatic or develop severe symptoms .,
51,32310621,severe,"SARS-CoV , MERS-CoV and SARS-CoV-2 seem to less commonly affect children and to cause fewer symptoms and less severe disease in this age group compared with adults , and are",
